duration,arrival_time,task_id,node_ids,co_num,reload,steps,size,info,execute,valid,start_time,load_time,quality,waiting_time,running_time,response_time,quality_reward
3.75537,171.29999999999455,24,"[0, 1, 2, 3]",4,False,26.82407,262144,"{'prompt': 'orange', 'ng_prompt': 'man!'}",True,True,274.899999999994,0,0.273726910316726,103.59999999999945,3.75537,107.35537,2.73726910316726
28.193296,232.59999999999107,31,"[0, 1]",2,True,26.837095,262144,"{'prompt': 'orange', 'ng_prompt': 'man!'}",True,True,278.6999999999949,0,0.27377025589601617,46.1000000000038,28.193296,74.2933,2.737702558960162
32.444153,216.69999999999197,29,[2],1,True,26.806837,262144,"{'prompt': 'orange', 'ng_prompt': 'man!'}",True,True,278.6999999999949,0,0.2736694932255097,62.0000000000029,32.444153,94.44415,2.736694932255097
32.144787,184.99999999999378,25,[3],1,True,25.856462,262144,"{'prompt': 'orange', 'ng_prompt': 'man!'}",True,True,278.6999999999949,0,0.2704461855468291,93.7000000000011,32.144787,125.84479,2.704461855468291
4.042173,214.6999999999921,28,"[0, 1]",2,False,25.869907,262144,"{'prompt': 'orange', 'ng_prompt': 'man!'}",True,True,306.9000000000013,0,0.2704925915967982,92.2000000000092,4.042173,96.24217,2.704925915967982
4.0843496,228.7999999999913,30,"[0, 1]",2,False,26.139837,262144,"{'prompt': 'orange', 'ng_prompt': 'man!'}",True,True,311.0000000000022,0,0.2714195150206979,82.20000000001093,4.0843496,86.28435,2.714195150206979
35.45159,98.99999999999865,16,"[0, 1, 2, 3]",4,True,24.654219,262144,"{'prompt': 'orange', 'ng_prompt': 'man!'}",True,True,315.10000000000315,0,0.26619445992205826,216.1000000000045,35.45159,251.5516,2.6619445992205826
3.503166,241.99999999999054,32,"[0, 1, 2, 3]",4,False,25.022614,262144,"{'prompt': 'orange', 'ng_prompt': 'man!'}",True,True,350.6000000000112,0,0.267518945140353,108.60000000002069,3.503166,112.103165,2.67518945140353
30.51033,0,3,[0],1,True,20.667717,262144,"{'prompt': 'orange', 'ng_prompt': 'man!'}",True,True,1,0,0.2504445958553827,1,30.51033,31.51033,2.504445958553827
30.351988,0,9,[1],1,True,20.165041,262144,"{'prompt': 'orange', 'ng_prompt': 'man!'}",True,True,1,0,0.24824584726845803,1,30.351988,31.351988,2.48245847268458
27.434067,0,6,"[2, 3]",2,True,21.978027,262144,"{'prompt': 'orange', 'ng_prompt': 'man!'}",True,True,1.4000000000000004,0,0.2559337496140259,1.4000000000000004,27.434067,28.834066,2.559337496140259
29.719437,0,8,[2],1,True,18.15694,262144,"{'prompt': 'orange', 'ng_prompt': 'man!'}",True,True,28.900000000000144,0,0.23887874449970584,28.900000000000144,29.719437,58.61944,2.3887874449970585
31.281212,0,10,[3],1,True,23.114956,262144,"{'prompt': 'orange', 'ng_prompt': 'man!'}",True,True,29.000000000000146,0,0.2604376147769623,29.000000000000146,31.281212,60.28121,2.604376147769623
27.291437,14.499999999999966,11,"[0, 1]",2,True,21.065199,262144,"{'prompt': 'orange', 'ng_prompt': 'man!'}",True,True,31.700000000000184,0,0.2521456686641259,17.200000000000216,27.291437,44.49144,2.521456686641259
2.99512,19.300000000000008,12,"[0, 1]",2,False,19.168768,262144,"{'prompt': 'orange', 'ng_prompt': 'man!'}",True,True,59.20000000000057,0,0.2437213239284385,39.90000000000056,2.99512,42.895123,2.437213239284385
6.689152,30.80000000000017,13,[2],1,False,21.235403,262144,"{'prompt': 'orange', 'ng_prompt': 'man!'}",True,True,59.20000000000057,0,0.2528642804859419,28.4000000000004,6.689152,35.08915,2.5286428048594187
