n/ep,n/st,rews,lens,idxs,rew,len,rew_std,len_std
1,3564,[179.89255401],[3564],[0],179.89255401447124,3564.0,0.0,0.0
1,3248,[170.00741251],[3248],[0],170.00741250828494,3248.0,0.0,0.0
1,3894,[135.91246485],[3894],[0],135.91246484811901,3894.0,0.0,0.0
1,3533,[159.4113869],[3533],[0],159.41138690287744,3533.0,0.0,0.0
