n/ep,n/st,rews,lens,idxs,rew,len,rew_std,len_std
1,3503,[150.74670482],[3503],[0],150.7467048235544,3503.0,0.0,0.0
1,3690,[156.7866765],[3690],[0],156.78667649827517,3690.0,0.0,0.0
1,3823,[154.50721763],[3823],[0],154.5072176320231,3823.0,0.0,0.0
1,2998,[138.39977848],[2998],[0],138.3997784799217,2998.0,0.0,0.0
