n/ep,n/st,rews,lens,idxs,rew,len,rew_std,len_std
1,8146,[321.35873035],[8146],[0],321.35873034910566,8146.0,0.0,0.0
1,8144,[307.49763979],[8144],[0],307.4976397898525,8144.0,0.0,0.0
1,8145,[316.3566704],[8145],[0],316.35667040460766,8145.0,0.0,0.0
1,8139,[321.60572167],[8139],[0],321.60572167197824,8139.0,0.0,0.0
