n/ep,n/st,rews,lens,idxs,rew,len,rew_std,len_std
1,4891,[237.16439831],[4891],[0],237.16439830915687,4891.0,0.0,0.0
1,4892,[254.08092181],[4892],[0],254.08092181001592,4892.0,0.0,0.0
1,4889,[219.4842004],[4889],[0],219.48420039809363,4889.0,0.0,0.0
1,4894,[252.46888667],[4894],[0],252.46888667162943,4894.0,0.0,0.0
